url_mode,length_match,stratum,n_before_match,n_total,n_benign,n_phishing,per_class_min,tier,n_sampled,tvd_first_pad_codeword,mean_benign,mean_phishing
norm,exact,v1,2656,1862,931,931,931,secondary,1862.0,0.0,12.474758324382385,12.474758324382385
norm,exact,v2,18718,12118,6059,6059,6059,primary,12118.0,0.0,24.81498597128239,24.81498597128239
norm,exact,v3,11996,9178,4589,4589,4589,primary,9178.0,0.0,41.64436696448028,41.64436696448028
norm,exact,v4,3930,2714,1357,1357,1357,primary,2714.0,0.0,62.946941783345615,62.946941783345615
norm,exact,v5plus,4147,532,266,266,266,dropped,532.0,0.0,98.63157894736842,98.63157894736842
norm,quantile,v1,2656,1878,939,939,939,secondary,1878.0,0.07667731629392972,11.694355697550586,12.329073482428115
norm,quantile,v2,18718,12200,6100,6100,6100,primary,12200.0,0.06508196721311477,24.98672131147541,24.780819672131148
norm,quantile,v3,11996,9230,4615,4615,4615,primary,9230.0,0.05200433369447453,41.557963163596966,41.7035752979415
norm,quantile,v4,3930,2802,1401,1401,1401,primary,2802.0,0.09850107066381156,62.28836545324768,62.953604568165595
norm,quantile,v5plus,4147,544,272,272,272,dropped,544.0,0.30514705882352944,98.99632352941177,97.15441176470588
norm,none,v1,2656,2656,1081,1575,1081,primary,2656.0,0.2942560533309839,11.456059204440333,13.022857142857143
norm,none,v2,18718,16627,10489,6138,6138,primary,16627.0,0.09576349919997182,25.540184955667844,24.754806125773868
norm,none,v3,11996,11996,7350,4646,4646,primary,11996.0,0.07688767457047391,41.17877551020408,41.72061988807577
norm,none,v4,3930,3930,1404,2526,1404,primary,3930.0,0.16692043770428566,62.32193732193732,64.14608076009502
norm,none,v5plus,4147,4147,272,3875,272,dropped,4147.0,0.5506015180265655,98.99632352941177,162.9883870967742
raw,exact,v1,1666,436,218,218,218,dropped,,,,
raw,exact,v2,18032,12124,6062,6062,6062,primary,,,,
raw,exact,v3,14976,11594,5797,5797,5797,primary,,,,
raw,exact,v4,4859,3436,1718,1718,1718,primary,,,,
raw,exact,v5plus,4545,654,327,327,327,secondary,,,,
raw,quantile,v1,1666,436,218,218,218,dropped,,,,
raw,quantile,v2,18032,12436,6218,6218,6218,primary,,,,
raw,quantile,v3,14976,11690,5845,5845,5845,primary,,,,
raw,quantile,v4,4859,3618,1809,1809,1809,primary,,,,
raw,quantile,v5plus,4545,662,331,331,331,secondary,,,,
raw,none,v1,1666,1635,218,1417,218,dropped,,,,
raw,none,v2,18032,15906,9079,6827,6827,primary,,,,
raw,none,v3,14976,14976,9114,5862,5862,primary,,,,
raw,none,v4,4859,4859,1819,3040,1819,primary,,,,
raw,none,v5plus,4545,4545,331,4214,331,secondary,,,,
