condition_id,stratum,baseline,auroc,f1,acc
norm-exact-all-fixed-small_cnn,v2,charngram_lr,0.9689005793297856,0.9103945735945708,0.9113854270780262
norm-exact-all-fixed-small_cnn,v3,charngram_lr,0.9718861395012013,0.8897410988830252,0.8875490400659543
norm-exact-all-fixed-small_cnn,v4,charngram_lr,0.9919612873634067,0.9535037318955506,0.9536294182541184
norm-exact-data_only-auto-small_cnn,v2,charngram_lr,0.9689005793297856,0.9103945735945708,0.9113854270780262
norm-exact-data_only-auto-small_cnn,v2,maskindex_lr,0.5240433683057031,0.6666666666666666,0.5
norm-exact-data_only-auto-small_cnn,v3,charngram_lr,0.9718861395012013,0.8897410988830252,0.8875490400659543
norm-exact-data_only-auto-small_cnn,v3,maskindex_lr,0.4857144474335649,0.6666666666666666,0.5
norm-exact-data_only-auto-small_cnn,v4,charngram_lr,0.9919612873634067,0.9535037318955506,0.9536294182541184
norm-exact-data_only-auto-small_cnn,v4,maskindex_lr,0.516868812636911,0.6666666666666666,0.500956937799043
norm-exact-data_only-fixed-bit_mlp,v2,charngram_lr,0.9689005793297856,0.9103945735945708,0.9113854270780262
norm-exact-data_only-fixed-bit_mlp,v3,charngram_lr,0.9718861395012013,0.8897410988830252,0.8875490400659543
norm-exact-data_only-fixed-bit_mlp,v4,charngram_lr,0.9919612873634067,0.9535037318955506,0.9536294182541184
norm-exact-data_only-fixed-small_cnn,v2,bytehist_lr,0.8614861314631757,0.7893636695938525,0.7924122577884549
norm-exact-data_only-fixed-small_cnn,v2,charngram_lr,0.9689005793297856,0.9103945735945708,0.9113854270780262
norm-exact-data_only-fixed-small_cnn,v2,length_lr,0.5,0.6666666666666666,0.5
norm-exact-data_only-fixed-small_cnn,v2,version_lr,0.5,0.6666666666666666,0.5
norm-exact-data_only-fixed-small_cnn,v3,bytehist_lr,0.7656785724008197,0.6989899285454706,0.6501963682395546
norm-exact-data_only-fixed-small_cnn,v3,charngram_lr,0.9718861395012013,0.8897410988830252,0.8875490400659543
norm-exact-data_only-fixed-small_cnn,v3,length_lr,0.5,0.6666666666666666,0.5
norm-exact-data_only-fixed-small_cnn,v3,version_lr,0.5,0.6666666666666666,0.5
norm-exact-data_only-fixed-small_cnn,v4,bytehist_lr,0.7707237381057472,0.7023572003711183,0.6744247933317682
norm-exact-data_only-fixed-small_cnn,v4,charngram_lr,0.9919612873634067,0.9535037318955506,0.9536294182541184
norm-exact-data_only-fixed-small_cnn,v4,length_lr,0.5,0.6666666666666666,0.5
norm-exact-data_only-fixed-small_cnn,v4,version_lr,0.5,0.6666666666666666,0.5
norm-exact-data_only-fixed-small_cnn-ecm,v3,charngram_lr,0.9606558449992594,0.8996121893999074,0.9002011953370023
norm-exact-data_only-fixed-small_cnn-pathplus,v2,charngram_lr,0.9138275312937164,0.8423810019255283,0.8454260171501551
norm-exact-data_only-fixed-small_cnn-pathplus,v2,length_lr,0.5,0.6666666666666666,0.5
norm-exact-data_only-fixed-small_cnn-pathplus,v3,charngram_lr,0.9683373131852815,0.8921338080456398,0.8885782381721441
norm-exact-data_only-fixed-small_cnn-pathplus,v3,length_lr,0.5,0.6666666666666666,0.5
norm-exact-data_only-fixed-small_cnn-pathplus,v4,charngram_lr,0.9883958348988109,0.9496945633077567,0.9496493138861247
