condition_id,phase,stratum,tier,n_total,auroc_mean,auroc_sd,auroc_pooled,auroc_ci_lo,auroc_ci_hi,f1_mean,acc_mean,decoded_text_reference_auroc,gap_to_decoded_text,label_shuffle_auroc
norm-exact-all-fixed-small_cnn,P2,v2,primary,12118,0.8726179699248373,0.02209120712118162,0.8713129461539841,0.8453639289684715,0.8923611985873151,0.7909709352505498,0.7829459477694423,0.9689005793297856,0.09628260940494826,
norm-exact-all-fixed-small_cnn,P2,v3,primary,9178,0.8021043076008236,0.03324670080672945,0.7243935714335382,0.668216328333205,0.7787315554325143,0.7303300357042695,0.7097911341860785,0.9718861395012013,0.16978183190037766,
norm-exact-all-fixed-small_cnn,P2,v4,primary,2714,0.8128110204742797,0.011847756046160389,0.757710823701459,0.7220702660542732,0.7935113462358554,0.7423740205796301,0.7273954317958478,0.9919612873634067,0.17915026688912705,
norm-exact-data_only-auto-small_cnn,P2,v2,primary,12118,0.7480375398977481,0.023212009106951675,0.7453174987545154,0.720635411486909,0.7675274578154891,0.7070520546375144,0.6576428931240448,0.9689005793297856,0.22086303943203744,
norm-exact-data_only-auto-small_cnn,P2,v3,primary,9178,0.6781531063589095,0.025991258921675652,0.6514955184623964,0.6257869295406159,0.6758441945389163,0.6726339123287052,0.5688685509043292,0.9718861395012013,0.2937330331422918,
norm-exact-data_only-auto-small_cnn,P2,v4,primary,2714,0.6746394114887166,0.03908778849774952,0.5879657096148365,0.5550616576793973,0.6209087201619505,0.6569533496439204,0.5791743835272072,0.9919612873634067,0.3173218758746901,
norm-exact-data_only-fixed-bit_mlp,P1,v2,primary,12118,0.8335410816836342,0.018244206301675645,0.8276492850445992,0.7952312618434471,0.8569399871090339,0.7595620923853408,0.7350092823019926,0.9689005793297856,0.1353594976461514,
norm-exact-data_only-fixed-bit_mlp,P1,v3,primary,9178,0.7318481736336359,0.02601683242325364,0.7278437377157658,0.6865068045179179,0.7686666790645815,0.6839568318239924,0.6294184563772091,0.9718861395012013,0.24003796586756543,
norm-exact-data_only-fixed-bit_mlp,P1,v4,primary,2714,0.6900294383080572,0.017610796298000757,0.6716288947101006,0.6331241764224452,0.7092922808720324,0.655376836357451,0.5998941800480754,0.9919612873634067,0.30193184905534953,
norm-exact-data_only-fixed-bit_mlp-shufflepos,P1,v2,primary,12118,0.8339298968437525,0.02081156156206434,0.8294246671330362,0.7958213895447215,0.8583839507731857,0.7587794876538967,0.7360800039480108,,,
norm-exact-data_only-fixed-bit_mlp-shufflepos,P1,v3,primary,9178,0.73257621997391,0.03269346953641818,0.727335778326076,0.6874909022209847,0.7658841424833753,0.687375958201403,0.6227087400687529,,,
norm-exact-data_only-fixed-bit_mlp-shufflepos,P1,v4,primary,2714,0.705928740874185,0.019308821042196538,0.7008120286111542,0.6595276112007727,0.7397729770231151,0.6604489085162728,0.6282812692826291,,,
norm-exact-data_only-fixed-small_cnn,P1,v2,primary,12118,0.8718063340250195,0.01931965845509295,0.8687996518236537,0.842569657070471,0.8900515919571428,0.7940974754493033,0.7846978280002163,0.9689005793297856,0.09709424530476607,
norm-exact-data_only-fixed-small_cnn,P1,v3,primary,9178,0.8136102834431069,0.030278278811469217,0.8038387805403393,0.7477475136264599,0.8452249018484,0.7395146357527107,0.7153003896726051,0.9718861395012013,0.15827585605809436,
norm-exact-data_only-fixed-small_cnn,P1,v4,primary,2714,0.8050358218778577,0.010378221168329026,0.7574927817988761,0.7200456596113869,0.7925796080827645,0.7244844252774365,0.7217139221360945,0.9919612873634067,0.186925465485549,
norm-exact-data_only-fixed-small_cnn-ecm,P2,v3,primary,10482,0.8473542505755077,0.005831814291081852,0.8393993990120598,0.8093097104772948,0.8642606839566424,0.7781890046957866,0.7661577608142494,0.9606558449992594,0.11330159442375165,
norm-exact-data_only-fixed-small_cnn-labelshuffle,P1,v2,primary,12118,0.4975583389176038,0.012269899432357857,0.49678085874883726,0.47512020157556734,0.5188919995004675,0.6651855391870916,0.49933448481198617,,,0.4975583389176038
norm-exact-data_only-fixed-small_cnn-labelshuffle,P1,v3,primary,9178,0.5080311316312779,0.013027137523220739,0.5014485470275362,0.44798479143743325,0.5523195594899865,0.6660766001009651,0.49985553892150436,,,0.5080311316312779
norm-exact-data_only-fixed-small_cnn-labelshuffle,P1,v4,primary,2714,0.5062913436385756,0.03163511108906163,0.5061989819978521,0.4594696924082412,0.5530663912904117,0.6641663755665068,0.501437472861485,,,0.5062913436385756
norm-exact-data_only-fixed-small_cnn-pathplus,P2,v2,primary,5410,0.7271558882953257,0.03146944612562124,0.673795900781563,0.621628596201154,0.7239136679969406,0.6887379540828067,0.626205072067141,0.9138275312937164,0.18667164299839067,
norm-exact-data_only-fixed-small_cnn-pathplus,P2,v3,primary,7322,0.7662246706099973,0.03775982937954775,0.7200863676342225,0.6529899182015292,0.7763734234152939,0.7046125411216806,0.6703781996592237,0.9683373131852815,0.20211264257528416,
norm-exact-data_only-fixed-small_cnn-pathplus,P2,v4,primary,2664,0.8216672889882084,0.04196035955883931,0.7678550127060286,0.7274699379447375,0.8037752829527134,0.7599274531378821,0.7401031656944996,0.9883958348988111,0.1667285459106027,
norm-exact-data_only-fixed-small_cnn-shufflepos,P1,v2,primary,12118,0.7653059941088065,0.019150859792707996,0.7225803412290209,0.6779684108599694,0.7672986001204055,0.713516444736077,0.6815355389893266,,,
norm-exact-data_only-fixed-small_cnn-shufflepos,P1,v3,primary,9178,0.6705184531459848,0.012342626779574957,0.626061578894369,0.5910932190146994,0.6571909982392509,0.6776545215220859,0.5558845405444562,,,
norm-exact-data_only-fixed-small_cnn-shufflepos,P1,v4,primary,2714,0.6558584736272405,0.02113775921819817,0.589957497041222,0.5498314114616921,0.628990640369085,0.6677925850173022,0.5692716406933332,,,
norm-exact-data_only-off-small_cnn,P2,v2,primary,12118,0.8711578470148378,0.02041962677032883,0.8666407154549447,0.8371384640814671,0.8919590769624087,0.7896447434831055,0.7757931050848867,0.9689005793297856,0.09774273231494779,
norm-exact-data_only-off-small_cnn,P2,v3,primary,9178,0.802659543301005,0.044243005687840065,0.763668052273202,0.7181520261003226,0.8042398971353637,0.7251836289533321,0.6920259347191177,0.9718861395012013,0.1692265962001963,
norm-exact-data_only-off-small_cnn,P2,v4,primary,2714,0.8155846431919114,0.030498278570958024,0.774329673271815,0.7371814245201389,0.8093839688205979,0.7480612540798526,0.7280655853504998,0.9919612873634067,0.17637664417149534,
norm-none-data_only-fixed-small_cnn,P2,v2,primary,16627,0.8766408866440087,0.013490609500948,0.7336158637246861,0.7086149356081964,0.7569090873754645,0.7379599699757742,0.8042186124355896,0.9696915535700926,0.09305066692608388,
norm-none-data_only-fixed-small_cnn,P2,v3,primary,11996,0.8159707015026807,0.05318653396667805,0.8103472491648157,0.7656374303966171,0.8480459454920917,0.6769926762300922,0.7396331295163979,0.9737868021361968,0.15781610063351614,
norm-none-data_only-fixed-small_cnn,P2,v4,primary,3930,0.8289483603467772,0.019905011695264926,0.7867355195376303,0.7517925994578833,0.8177920921312716,0.8202602148778878,0.7599320882852292,0.9940218620429702,0.16507350169619295,
norm-none-data_only-fixed-small_cnn-padrand,P2,v2,primary,16627,0.861769172952594,0.012343452664026245,0.7971034258732005,0.7693497029102245,0.824093893417969,0.7178982596249227,0.7743815160396184,0.9696915535700926,0.10792238061749859,
norm-none-data_only-fixed-small_cnn-padrand,P2,v3,primary,11996,0.7947545482714355,0.04471429313159982,0.7689185438240632,0.7280705611999397,0.8068544318189891,0.6635502384815787,0.6994997220678154,0.9737868021361968,0.1790322538647613,
