condition_id,phase,stratum,tier,n_total,auroc_mean,auroc_sd,auroc_pooled,auroc_ci_lo,auroc_ci_hi,f1_mean,acc_mean,decoded_text_reference_auroc,gap_to_decoded_text,label_shuffle_auroc
norm-exact-all-fixed-small_cnn,P2,v2,primary,12118,0.8726179699248373,0.02209120712118162,0.8713129461539841,0.8453639289684715,0.8923611985873151,0.7909709352505498,0.7829459477694423,0.9689005793297856,0.09628260940494826,
norm-exact-all-fixed-small_cnn,P2,v3,primary,9178,0.8021043076008236,0.03324670080672945,0.7243935714335382,0.668216328333205,0.7787315554325143,0.7303300357042695,0.7097911341860785,0.9718861395012013,0.16978183190037766,
norm-exact-all-fixed-small_cnn,P2,v4,primary,2714,0.8128110204742797,0.011847756046160389,0.757710823701459,0.7220702660542732,0.7935113462358554,0.7423740205796301,0.7273954317958478,0.9919612873634067,0.17915026688912705,
norm-exact-data_only-auto-small_cnn,P2,v2,primary,12118,0.7480375398977481,0.023212009106951675,0.7453174987545154,0.720635411486909,0.7675274578154891,0.7070520546375144,0.6576428931240448,0.9689005793297856,0.22086303943203744,
norm-exact-data_only-auto-small_cnn,P2,v3,primary,9178,0.6781531063589095,0.025991258921675652,0.6514955184623964,0.6257869295406159,0.6758441945389163,0.6726339123287052,0.5688685509043292,0.9718861395012013,0.2937330331422918,
norm-exact-data_only-auto-small_cnn,P2,v4,primary,2714,0.6746394114887166,0.03908778849774952,0.5879657096148365,0.5550616576793973,0.6209087201619505,0.6569533496439204,0.5791743835272072,0.9919612873634067,0.3173218758746901,
norm-exact-data_only-fixed-small_cnn-ecm,P2,v3,primary,10482,0.8473542505755077,0.005831814291081852,0.8393993990120598,0.8093097104772948,0.8642606839566424,0.7781890046957866,0.7661577608142494,0.9606558449992594,0.11330159442375165,
norm-exact-data_only-fixed-small_cnn-pathplus,P2,v2,primary,5410,0.7271558882953257,0.03146944612562124,0.673795900781563,0.621628596201154,0.7239136679969406,0.6887379540828067,0.626205072067141,0.9138275312937164,0.18667164299839067,
norm-exact-data_only-fixed-small_cnn-pathplus,P2,v3,primary,7322,0.7662246706099973,0.03775982937954775,0.7200863676342225,0.6529899182015292,0.7763734234152939,0.7046125411216806,0.6703781996592237,0.9683373131852815,0.20211264257528416,
norm-exact-data_only-fixed-small_cnn-pathplus,P2,v4,primary,2664,0.8216672889882084,0.04196035955883931,0.7678550127060286,0.7274699379447375,0.8037752829527134,0.7599274531378821,0.7401031656944996,0.9883958348988111,0.1667285459106027,
norm-exact-data_only-off-small_cnn,P2,v2,primary,12118,0.8711578470148378,0.02041962677032883,0.8666407154549447,0.8371384640814671,0.8919590769624087,0.7896447434831055,0.7757931050848867,0.9689005793297856,0.09774273231494779,
norm-exact-data_only-off-small_cnn,P2,v3,primary,9178,0.802659543301005,0.044243005687840065,0.763668052273202,0.7181520261003226,0.8042398971353637,0.7251836289533321,0.6920259347191177,0.9718861395012013,0.1692265962001963,
norm-exact-data_only-off-small_cnn,P2,v4,primary,2714,0.8155846431919114,0.030498278570958024,0.774329673271815,0.7371814245201389,0.8093839688205979,0.7480612540798526,0.7280655853504998,0.9919612873634067,0.17637664417149534,
norm-none-data_only-fixed-small_cnn,P2,v2,primary,16627,0.8766408866440087,0.013490609500948,0.7336158637246861,0.7086149356081964,0.7569090873754645,0.7379599699757742,0.8042186124355896,0.9696915535700926,0.09305066692608388,
norm-none-data_only-fixed-small_cnn,P2,v3,primary,11996,0.8159707015026807,0.05318653396667805,0.8103472491648157,0.7656374303966171,0.8480459454920917,0.6769926762300922,0.7396331295163979,0.9737868021361968,0.15781610063351614,
norm-none-data_only-fixed-small_cnn,P2,v4,primary,3930,0.8289483603467772,0.019905011695264926,0.7867355195376303,0.7517925994578833,0.8177920921312716,0.8202602148778878,0.7599320882852292,0.9940218620429702,0.16507350169619295,
norm-none-data_only-fixed-small_cnn-padrand,P2,v2,primary,16627,0.861769172952594,0.012343452664026245,0.7971034258732005,0.7693497029102245,0.824093893417969,0.7178982596249227,0.7743815160396184,0.9696915535700926,0.10792238061749859,
norm-none-data_only-fixed-small_cnn-padrand,P2,v3,primary,11996,0.7947545482714355,0.04471429313159982,0.7689185438240632,0.7280705611999397,0.8068544318189891,0.6635502384815787,0.6994997220678154,0.9737868021361968,0.1790322538647613,
norm-none-data_only-fixed-small_cnn-padrand,P2,v4,primary,3930,0.7988591531599447,0.01421372524288721,0.7784219123005403,0.7372369898986062,0.8156079828490862,0.8045471545645135,0.7341256366723259,0.9940218620429702,0.19516270888302545,
norm-quantile-data_only-fixed-small_cnn,P2,v2,primary,12200,0.8527648726590737,0.018385181703432143,0.7740473798313613,0.745910420651215,0.8037245478078561,0.7788991296805589,0.7630632817833469,0.9663809288760963,0.11361605621702253,
norm-quantile-data_only-fixed-small_cnn,P2,v3,primary,9230,0.8173605917231725,0.03523640314977942,0.7818529043417752,0.7222356842275933,0.832261182476895,0.7401985674566032,0.7022367338229022,0.9705462400354474,0.15318564831227488,
norm-quantile-data_only-fixed-small_cnn,P2,v4,primary,2802,0.7967248115188966,0.01976387518990818,0.6523444976076556,0.5980479973490288,0.7033300469046334,0.725972133136009,0.6984785133565622,0.9917828309193993,0.1950580194005027,
raw-exact-data_only-fixed-small_cnn,P2,v2,primary,12124,0.9205980727346015,0.01122131928358323,0.9195321993970559,0.9031064611732443,0.9357469109644492,0.8481183035242168,0.8408707622938021,0.9661195228173692,0.045521450082767756,
raw-exact-data_only-fixed-small_cnn,P2,v3,primary,11594,0.873147804206444,0.009946463231752101,0.8163506792166645,0.7741010048275353,0.8533980266153627,0.7925440533522854,0.7823741583281804,0.9699878026228156,0.09683999841637159,
raw-exact-data_only-fixed-small_cnn,P2,v4,primary,3436,0.8918571831359314,0.004905075238970417,0.8525413850827702,0.8220669935414743,0.8794166165510362,0.8109970415480839,0.8041244483108493,0.9931369964813317,0.10127981334540026,
